CombinedBiomass_250717
 Population ;Individual;Lat_Origin;Long_Origin;GrownInGarden2022;LatGarden2022;LongGarden2022;PlantingDate;BiomassHarvesting;InitialRhizomeWeight_mg;InitialRhizomeWeight_g;TransplantedInGarden2023;LatGarden2023;LongGarden2023;Block;Position;Date_sprouting_1;Sprouting_1;Date_sprouting _2;Sprouting_2;Survival;Flowering_2023;AboveDw_g;BelowDW_g;TotalBiomass_g;Comment
1;5;44,88361;7,68843;Torino;45,054504;7,686862;2023-02-10;2023-10-12;4102,7;4,1027;Torino;45,054504;7,686862;1;20;2023-03-20;0;2023-03-27;1;1;0;30,25;94,87;125,12;
1;5;44,88361;7,68843;Uppsala;59,819058;17,645823;2023-02-10;2023-10-12;6688,5;6,6885;Torino;45,054504;7,686862;2;3;2023-03-20;1;2023-03-27;1;1;1;22,75;104,78;127,53;
1;5;44,88361;7,68843;Tübingen;48,544891;9,043166;2023-02-10;2023-10-12;2860,5;2,8605;Torino;45,054504;7,686862;3;1;2023-03-20;0;2023-03-27;1;1;0;17,59;66,45;84,04;
1;5;44,88361;7,68843;Uppsala;59,819058;17,645823;2023-02-13;2023-10-17;3514,2;3,5142;Tübingen;48,544891;9,043166;1;11;2023-04-06;1;2023-04-15;1;1;0;14,47;36,97;51,44;
1;5;44,88361;7,68843;Torino;45,054504;7,686862;2023-02-13;2023-10-17;3625,8;3,6258;Tübingen;48,544891;9,043166;2;33;2023-04-06;1;2023-04-15;1;1;0;11,18;38,79;49,97;
1;5;44,88361;7,68843;Tübingen;48,544891;9,043166;2023-02-13;2023-10-17;2927;2,927;Tübingen;48,544891;9,043166;3;35;2023-04-06;1;2023-04-15;1;1;0;8,91;31,02;39,93;
1;5;44,88361;7,68843;Tübingen;48,544891;9,043166;2023-02-09;2023-10-10;1852,6;1,8526;Uppsala;59,849898;17,627572;1;39;2023-05-05;0;2023-05-12;0;1;0;25,6;31,45;57,05;
1;5;44,88361;7,68843;Torino;45,054504;7,686862;2023-02-09;2023-10-10;4793,8;4,7938;Uppsala;59,849898;17,627572;2;5;2023-05-05;0;2023-05-12;1;1;0;24,2;52,84;77,04;
1;5;44,88361;7,68843;Uppsala;59,819058;17,645823;2023-02-09;2023-10-10;2818,7;2,8187;Uppsala;59,849898;17,627572;3;16;2023-05-05;0;2023-05-12;1;1;0;14,3;25,59;39,89;
2;2;44,74757;7,47791;Uppsala;59,819058;17,645823;2023-02-10;2023-10-12;2794,8;2,7948;Torino;45,054504;7,686862;1;3;2023-03-20;0;2023-03-27;0;1;1;18,66;85,47;104,13;
2;2;44,74757;7,47791;Torino;45,054504;7,686862;2023-02-10;2023-10-12;4129;4,129;Torino;45,054504;7,686862;2;35;2023-03-20;0;2023-03-27;0;1;1;13,5;53,61;67,11;
2;2;44,74757;7,47791;Tübingen;48,544891;9,043166;2023-02-10;2023-10-12;1802,3;1,8023;Torino;45,054504;7,686862;3;36;2023-03-20;0;2023-03-27;0;1;1;11,37;41,23;52,6;
2;2;44,74757;7,47791;Torino;45,054504;7,686862;2023-02-13;2023-10-17;3040,4;3,0404;Tübingen;48,544891;9,043166;1;6;2023-04-06;0;2023-04-15;0;1;0;12,68;39,94;52,62;
2;2;44,74757;7,47791;Uppsala;59,819058;17,645823;2023-02-13;2023-10-17;2319,2;2,3192;Tübingen;48,544891;9,043166;2;37;2023-04-06;1;2023-04-15;1;1;0;12,81;33,11;45,92;
2;2;44,74757;7,47791;Tübingen;48,544891;9,043166;2023-02-13;2023-10-17;2928,6;2,9286;Tübingen;48,544891;9,043166;3;39;2023-04-06;0;2023-04-15;0;1;1;21,63;55,13;76,76;
2;2;44,74757;7,47791;Tübingen;48,544891;9,043166;2023-02-09;2023-10-10;2152,5;2,1525;Uppsala;59,849898;17,627572;1;36;2023-05-05;0;2023-05-12;1;1;0;23;34,63;57,63;
